title,company_name,location,experience,technical_skills
Senior Data Engineer (310),ICM Personal AG,"Zürich, Switzerland",Non spécifié,"['Python', 'R', 'SQL', 'Snowflake', 'AWS', 'AZURE', 'Scala', 'SQL', 'Snowflake', 'SQL Server', 'Oracle']"
Product Owner Data Analytics,VAT Vakuumventile AG,Switzerland,Non spécifié,"['R', 'Excel', 'Scala']"
Senior Data Engineer/Azure Cloud Architect,Rec2Tech Ltd,"Zürich, Switzerland",Non spécifié,"['Python', 'R', 'Excel', 'AZURE', 'Spark', 'Scala']"
Data Governance Specialist,JCW Resourcing,"Solothurn, Switzerland",Non spécifié,['R']
Clinical Data Manager,Aktiia,"Neuchâtel, Switzerland",Non spécifié,"['Python', 'R']"
"Associate Director, Global Delivery Excellence Data and Reporting",Bristol-Myers Squibb  Co,"Boudry, Switzerland   (+2 others)",Non spécifié,"['R', 'Excel', 'AWS', 'Git']"
Data Engineer (80-100%),Bank Vontobel,Switzerland,Non spécifié,"['Python', 'R', 'SQL', 'Excel', 'Tableau', 'Snowflake', 'AZURE', 'Airflow', 'SQL', 'Kubernetes', 'Docker', 'Snowflake']"
Data Engineer,Gulp,"Bern, Switzerland",Non spécifié,['R']
Senior Data Engineer Data Platform Team M F D Remote,Glassnode,Anywhere,Non spécifié,"['Python', 'R', 'GCP', 'Airflow', 'Kafka', 'Git', 'Kubernetes', 'Docker']"
Sr Datawarehouse Developer,SZ1 Banco Santander International SA,Anywhere,Non spécifié,"['Python', 'R', 'SQL', 'Excel', 'AWS', 'Scala', 'SQL', 'Oracle']"
Data Engineer,Nozomi Networks,"Mendrisio, Switzerland",Non spécifié,"['Python', 'R', 'SQL', 'Excel', 'AWS', 'SQL', 'NoSQL', 'Docker']"
Data Scientist - Battery Energy Storage Systems (m/f/d),Advanced Microgrid Solutions,"Zürich, Switzerland",Non spécifié,"['Python', 'R', 'SQL', 'Excel', 'Scala', 'SQL', 'Git']"
Data Analyst - Semantic Models intern,Philip Morris International,"Lausanne, Switzerland",Non spécifié,"['Python', 'R', 'Git']"
Data Coordinator 60- 80 % (m/f/d),Michael Page,"Zürich, Switzerland",Non spécifié,"['R', 'Excel']"
INTERN - INFORMATION MANAGEMENT (Data Visualization and Design),UNOG United Nations Office at Geneva,"Geneva, Switzerland",Non spécifié,['R']
Data Analyst,TieTalent,"Geneva, Switzerland",Non spécifié,"['R', 'SQL', 'Snowflake', 'SQL', 'Snowflake']"
Senior Project Manager (MCF / Data Centres),Royal HaskoningDHV,"Zürich, Switzerland",Non spécifié,"['R', 'Excel', 'Git']"
Internship data analyst,"Merck KGaA, Darmstadt, Germany","Aubonne, Switzerland",Non spécifié,"['R', 'SQL', 'Excel', 'Tableau', 'SQL']"
Cloud Data Engineer,Rec2Tech Ltd,"Zürich, Switzerland",Non spécifié,"['Python', 'R', 'SQL', 'Excel', 'AZURE', 'Databricks', 'Spark', 'Scala', 'Hadoop', 'SQL']"
Software Developer / Data Engineer / Co-Founder,wantex,Anywhere,Non spécifié,['R']
Data Science Manager,Microsoft,"Schwyz, Switzerland  (+1 other)",Non spécifié,"['R', 'Excel', 'AWS', 'Scala']"
Chapter Lead - Data Strategy & Governance,dsm-firmenich,Switzerland,Non spécifié,"['R', 'Excel', 'Git']"
"Document Data Migration Specialist (Student job, 50%) (m/f/x)",Straumann,"Basel, Switzerland",Non spécifié,"['R', 'Excel']"
Data Center Engineering Operations Trainee,Amazon Data Services Switzerland GmbH,"Zürich, Switzerland",Non spécifié,"['R', 'AWS']"
Product Manager - Data Services,Etops,"Cham, Switzerland",Non spécifié,"['R', 'Excel']"
INTERN - INFORMATION MANAGEMENT (Data Visualization and Design),UNOG United Nations Office at Geneva,"Geneva, Switzerland",Non spécifié,['R']
Cloud Architect - AWS Data Analytics,DoiT International,"Bern, Switzerland",Non spécifié,"['Python', 'R', 'SQL', 'Excel', 'GCP', 'AWS', 'AZURE', 'Airflow', 'SQL', 'NoSQL', 'Git', 'Kubernetes']"
Experienced Data Scientist: Algorithm development for sensor...,greenteg AG,"Rümlang, Switzerland",Non spécifié,"['Python', 'R']"
Data Science Director,Metyis,"Zürich, Switzerland",Non spécifié,"['Python', 'R', 'SQL', 'Excel', 'Tableau', 'PowerBI', 'SQL', 'NoSQL', 'Git']"
Data Center Critical Facilities Engineer (m/f/d),Equinix,"Oberengstringen, Switzerland",Non spécifié,"['R', 'Excel', 'Git']"
Master Data Specialist,Accuray,"Morges, Switzerland",Non spécifié,"['R', 'Excel', 'Scala']"
Program Analytics Specialist - UpLink,World Economic Forum Geneva,Anywhere,Non spécifié,"['R', 'Tableau', 'Dataiku', 'Dataiku', 'Airflow']"
Group Lead Data and AI,Proclinical,"Schwyz, Switzerland",Non spécifié,"['Python', 'R', 'PowerBI', 'AZURE', 'Scala', 'Git', 'generative AI']"
Senior Data Engineer,Visium SA,"Lausanne, Switzerland",Non spécifié,"['Python', 'R', 'Excel', 'Tableau', 'PowerBI', 'Snowflake', 'AWS', 'AZURE', 'Databricks', 'Spark', 'Scala', 'Snowflake']"
Software Engineer in Test – New Data,Nexthink,Anywhere,Non spécifié,"['Python', 'R', 'Git', 'Jenkins']"
Data Science Analyst,Agoda,"Zürich, Switzerland",Non spécifié,['R']
Software Engineer for Data Distribution (IT-SD-PDS-2023-140-GRAP),CERN,Switzerland,Non spécifié,"['Python', 'R', 'AWS']"
NSTC R&D Master Trainee Data Analysts Developer,Nestle Operational Services Worldwide SA,"Orbe, Switzerland",Non spécifié,"['Python', 'R', 'SQL', 'Excel', 'AWS', 'SQL']"
"Manager, Workday Data Conversion Lead",KPMG Deutschland,"Basel, Switzerland   (+34 others)",Non spécifié,"['R', 'AWS']"
Data Center Productivity Manager / Daily Operations Manager (m/f/d),CBRE,"Winterthur, Switzerland",Non spécifié,"['R', 'Excel', 'Git']"
Marketing Data Scientist,EF Education First,"Zürich, Switzerland",Non spécifié,"['Python', 'R', 'SQL', 'Spark', 'SQL', 'Git', 'Random Forest']"
Senior Data Engineer,Siren Group,Anywhere,Non spécifié,"['Python', 'R', 'SQL', 'Excel', 'Snowflake', 'AWS', 'Scala', 'Airflow', 'SQL', 'Git', 'Docker', 'Snowflake']"
Internship in Oncology Data Science,Novartis Pharma AG,"Basel, Switzerland",Non spécifié,"['R', 'Excel']"
"Lead Data Scientist, Insurance Industry - BCG X",Boston Consulting Group,"Zürich, Switzerland   (+9 others)",Non spécifié,"['Python', 'R', 'Spark', 'Scala', 'Git']"
Item Master Data Specialist,On,Switzerland,Non spécifié,"['R', 'Excel']"
Intern data analytics & program management assistant (m/w/d),CH12 Lonza AG,Anywhere,Non spécifié,"['R', 'Excel']"
"Data Engineer (Lausanne, Switzerland)",Unit8 SA,Anywhere,Non spécifié,"['Python', 'R', 'AWS', 'AZURE', 'Databricks', 'Spark', 'Git', 'Docker']"
Consultant Data Protection (m/f/d),AWK Group AG,"Bern, Switzerland   (+3 others)",Non spécifié,"['R', 'Git']"
Data Analyst (Country of deployment to be determined),IMPACT Initiatives,"Châtelaine, Switzerland",Non spécifié,"['Python', 'R']"
Data Platform Engineer,Scandit,Anywhere,Non spécifié,"['Python', 'R', 'SQL', 'Excel', 'Tableau', 'GCP', 'AWS', 'Kafka', 'SQL', 'Git', 'Gitlab']"
SAP MM Functional Consultant (f/m/d) S/4 HANA Data Migration,NTT DATA  Services,"Basel, Switzerland",Non spécifié,"['R', 'Excel', 'Git']"
Federation-wide Data Systems,International Federation of Red Cross and Red Crescent Societies,Switzerland,Non spécifié,"['Python', 'R', 'SQL', 'Tableau', 'SQL', 'Git', 'Gitlab']"
Data Scientist (Brain-Computer Interface Team),AE Studio,Anywhere,Non spécifié,"['Python', 'R', 'AWS', 'S3', 'Git', 'Tensorflow']"
Postdoctoral Researcher in Modeling Intraindividual Learning...,University of Zurich,"Zürich, Switzerland",Non spécifié,"['Python', 'R', 'Git']"
Consultant Data Scientist - Forensics in Geneva,EY,"Lancy, Switzerland",Non spécifié,"['Python', 'R', 'SQL', 'Excel', 'SQL']"
IT Data Engineer,LHH,"Geneva, Switzerland",Non spécifié,"['R', 'SQL', 'AZURE', 'Spark', 'SQL']"
Regional Sales Manager - 28951,Splunk,"Zürich, Switzerland  (+1 other)",Non spécifié,"['R', 'AWS']"
Data Steward (Data Operations & Analytics) - Finance field - Up to...,YourCode Recruitment,"Zürich, Switzerland",Non spécifié,"['Python', 'R', 'SQL', 'PowerBI', 'AWS', 'AZURE', 'SQL']"
Data Engineer in Zürich (m/w/d),ROCKEN,"Zürich, Switzerland",Non spécifié,"['Python', 'R', 'Excel', 'Tableau', 'AWS', 'Spark', 'Scala', 'Kafka', 'Hadoop', 'Git', 'Kubernetes', 'Docker', 'Jenkins']"
BI Developer / Data Visualisation Engineer (m/f/d),Coopers Group AG,Switzerland,Non spécifié,"['R', 'Excel', 'PowerBI']"
Clinical Programming Lead (1 of 2 positions),Johnson & Johnson,"Allschwil, Switzerland   (+10 others)",Non spécifié,"['Python', 'R', 'SQL', 'Scala', 'SQL']"
Data scientist,Smeetz,Anywhere,Non spécifié,"['Python', 'R', 'Excel', 'AWS']"
App-Entwickler für Oracle Datenbank- und Data-Warehousing-Lösungen (a),Nexus,"Einsiedeln, Switzerland",Non spécifié,"['R', 'SQL', 'SQL', 'Oracle']"
(Senior) Data Analyst,TieTalent,"Geneva, Switzerland",Non spécifié,"['R', 'SQL', 'Tableau', 'SQL']"
Data Governance Lead,On,Switzerland,Non spécifié,"['R', 'GCP', 'Scala', 'Airflow']"
Software Engineer - Data,Zondax,Anywhere,Non spécifié,"['R', 'Scala', 'Kubernetes', 'Docker']"
Senior Data Scientist,Traveltechessentialist,Anywhere,Non spécifié,"['Python', 'R', 'Spark', 'Scala', 'Git']"
Clinical Data Manager,Universität Zürich,"Zürich, Switzerland",Non spécifié,"['R', 'Excel', 'GCP']"
Agriculture Sustainability Specialist Data Protocols and Methodologies,Nestlé Operational Services Worldwide SA GTP,"Lausanne, Switzerland",Non spécifié,['R']
Software Engineer in Test – New Data,Nexthink,"Lausanne, Switzerland",Non spécifié,"['Python', 'R', 'Git', 'Jenkins']"
Lead Electrical Engineer (MCF/ Data Centres),Royal HaskoningDHV,"Zürich, Switzerland",Non spécifié,"['R', 'Excel', 'Git']"
SAP Data Migration,Stott and May,Switzerland,Non spécifié,['R']
Staff Data Engineer,Lokalise,Anywhere,Non spécifié,"['Python', 'R', 'SQL', 'Snowflake', 'AWS', 'Airflow', 'Kafka', 'SQL', 'Git', 'Docker', 'Snowflake']"
Data engineer - Young graduate / Internship,Lucid Analytics AG,"Basel, Switzerland",Non spécifié,"['Python', 'R', 'Git']"
SAP Master Data Governance Senior Consultant (m/f/d),AWK Group AG,"Bern, Switzerland   (+3 others)",Non spécifié,"['R', 'Git']"
MMC Data and Research Project Manager Europe,Danish Refugee Council,"Geneva, Switzerland  (+1 other)",Non spécifié,"['R', 'Excel']"
Senior Data Engineer,SGS,"Geneva, Switzerland",Non spécifié,"['Python', 'R', 'AZURE', 'Git']"
Data Analyst (H/F),ROLEX SA,"Geneva, Switzerland",Non spécifié,"['Python', 'R', 'SQL', 'Excel', 'Tableau', 'PowerBI', 'Snowflake', 'SQL', 'Snowflake']"
Global Data Privacy Director,IRC - The International Rescue Committee,"Geneva, Switzerland   (+2 others)",Non spécifié,"['R', 'AWS']"
"Junior Data Analyst (EMEA, remote)",Margera,Anywhere,Non spécifié,"['Python', 'R', 'SQL', 'Excel', 'Tableau', 'PowerBI', 'SQL', 'Git']"
Claims MI Analyst,RenaissanceRe Europe AG,Anywhere,Non spécifié,"['Python', 'R', 'SQL', 'Excel', 'Tableau', 'PowerBI', 'SQL', 'SQL Server']"
"Data Analyst (100%, all genders)",Swiss International Air Lines AG,Anywhere,Non spécifié,"['R', 'Excel', 'Tableau', 'AZURE']"
Group Lead Data & AI,Octapharma,"Schwyz, Switzerland",Non spécifié,"['Python', 'R', 'Excel', 'PowerBI', 'AZURE', 'Scala', 'generative AI']"
Erfahrener und motivierter Data-Architekt,Nexus,"Freienbach, Switzerland",Non spécifié,['R']
Study Coordinator Data Management,Personal Genome Diagnostics,"Geneva, Switzerland   (+16 others)",Non spécifié,['R']
"Cloud Architect (Zurich, Switzerland)",Unit8 SA,Anywhere,Non spécifié,"['Python', 'R', 'GCP', 'AWS', 'AZURE', 'Databricks', 'Spark', 'Git', 'Docker']"
Senior IT Application Analyst – Product Data 80 - 100% (m/f),Geberit International AG,"Rapperswil-Jona, Switzerland",Non spécifié,['R']
Senior IT Application Analyst - Product Data (m/f) 80 - 100%,Geberit International AG,"St. Gallen, Switzerland",Non spécifié,"['R', 'Excel', 'AZURE', 'Kanban']"
Senior SAP BODS Developer (f/m/d) S/4 HANA Data Migration,NTT DATA Services,"Basel, Switzerland",Non spécifié,"['R', 'Git']"
Associate Data Analyst,Gartner Switzerland GmbH,"Zürich, Switzerland",Non spécifié,"['R', 'Excel', 'PowerBI']"
Senior Data Engineer,Proclinical,"Solothurn, Switzerland",Non spécifié,"['Python', 'R', 'SQL', 'Tableau', 'GCP', 'AWS', 'AZURE', 'Databricks', 'Spark', 'Scala', 'SQL', 'NoSQL', 'ELK', 'Git', 'Jira', 'SQL Server']"
Scienziato dei dati Previsione delle serie temporali,galaxus,"Zürich, Switzerland",Non spécifié,"['Python', 'R', 'SQL', 'SQL', 'Git']"
"Senior Data Analyst (EMEA, remote)",Margera,Anywhere,Non spécifié,"['Python', 'R', 'SQL', 'Excel', 'Tableau', 'PowerBI', 'SQL', 'Git']"
"Data Analyst (100%, all genders)",Swiss International Air Lines AG,"Zürich, Switzerland",Non spécifié,"['R', 'Excel', 'Tableau', 'AZURE']"
EHS Data & Hazard Communication Specialist,Roche,"Basel, Switzerland   (+5 others)",Non spécifié,"['R', 'Excel', 'Scala']"
Consultant Data Scientist - Forensics in Zurich,EY,"Zürich, Switzerland",Non spécifié,"['Python', 'R', 'SQL', 'Excel', 'SQL']"
Marketing Data Analyst Lead,Mews,Anywhere,Non spécifié,"['Python', 'R', 'SQL', 'Excel', 'PowerBI', 'AZURE', 'Databricks', 'Scala', 'SQL']"
Data & Risk Analyst - Group Customer Payment Services,Richemont,"Geneva, Switzerland",Non spécifié,"['Python', 'R', 'SQL', 'Excel', 'Tableau', 'Scala', 'SQL', 'Git']"
Data Quality Analyst (maternity cover),VF Corporation,"Stabio, Switzerland",Non spécifié,"['R', 'Excel']"
Intern - Data Standards & Governance / Data Privacy & Sharing,1201 F. Hoffmann-La Roche AG,Anywhere,Non spécifié,"['R', 'Excel']"
Data Architect,Helvetica Partners,Anywhere,Non spécifié,"['Python', 'R', 'PowerBI', 'Databricks']"
Senior Marketing Data Analyst,Remote,Anywhere,Non spécifié,"['R', 'SQL', 'SQL']"
(Senior) Consultant Data Strategy & Governance 80-100% (m/f/d),BearingPoint,"Geneva, Switzerland",Non spécifié,"['R', 'Tableau', 'PowerBI', 'Snowflake', 'Snowflake']"
"Manager, Serialization Data Operations",Bristol Myers Squibb,"Boudry, Switzerland",Non spécifié,"['R', 'Excel', 'AWS', 'Git']"
Principal Data Engineer,Stacklok,Anywhere,Non spécifié,"['Python', 'R', 'SQL', 'Excel', 'Scala', 'SQL', 'NoSQL', 'Kubernetes', 'ElasticSearch']"
ICT Operational Engineer - Data Center,Swisscom,"Geneva, Switzerland",Non spécifié,['R']
SAP MDM (Senior) Berater SAP Master Data Management(m/w/d),Corporate Business Solutions,"Basel, Switzerland",Non spécifié,['R']
Data Analyst - E-commerce,lastminute.com,"Chiasso, Switzerland",Non spécifié,"['R', 'Excel', 'AWS', 'Git']"
Data Analyst Junior sur PowerBI - Entreprise internationale basée...,Academic Work,"Vevey, Switzerland",Non spécifié,"['R', 'PowerBI', 'Git']"
Data Sciences Product Leader,1201 F. Hoffmann-La Roche AG,Anywhere,Non spécifié,"['Python', 'R', 'SQL', 'Excel', 'SQL']"
