title,company_name,location,experience,technical_skills
Big Data/Cloud Intern - INTERNSHIP/STAGE,IBM,Belgium,Non spécifié,"['R', 'AWS', 'AZURE', 'MongoDB', 'Git']"
Manufacturing & Supply Chain Data Scientist,Accenture,"Brussels, Belgium",Non spécifié,"['R', 'Excel']"
Power Platform Consultant,Squadron,"Waregem, Belgium",Non spécifié,"['R', 'AZURE', 'Git']"
Medior Data Engineer (Power BI),Oliver James,"Brussels, Belgium",Non spécifié,"['R', 'SQL', 'Excel', 'Scala', 'SQL', 'SAS']"
Project Engineer - Automation/Mechatronic/Data Science,PGBPGNGLOBAL,"Brussels, Belgium",Non spécifié,"['R', 'Git']"
Senior Data Engineer,ATCON,Belgium,Non spécifié,"['Python', 'R', 'SQL', 'Spark', 'Scala', 'Kafka', 'SQL', 'NoSQL']"
Data Ops Engineer,Orange Business,"Evere, Belgium",Non spécifié,"['R', 'SQL', 'Snowflake', 'Databricks', 'Airflow', 'SQL', 'Git', 'Kubernetes', 'Docker', 'Snowflake', 'Terraform']"
Data Science Manager - Supply Chain (2 years),1849 GlaxoSmithKline Biologicals S.A.,Anywhere,Non spécifié,"['R', 'Git', 'generative AI']"
Azure Data Engineer - SAS,Next Ventures,Belgium,Non spécifié,"['R', 'AZURE', 'SAS']"
🤝  Data Governance Expert,dataroots,"Flemish Brabant, Belgium",Non spécifié,"['R', 'Excel']"
Data Manager - Core Laboratory,"Medpace, Inc.","Leuven, Belgium",Non spécifié,['R']
Study Coordinator Data Management,Labcorp,"Mechelen, Belgium   (+3 others)",Non spécifié,['R']
BI Data Modeller,Risk Systems Consulting,"Brussels, Belgium",Non spécifié,"['R', 'SQL', 'PowerBI', 'SQL', 'SQL Server', 'SAS']"
Data Ops Engineer,Orange SA,Anywhere,Non spécifié,"['R', 'SQL', 'Snowflake', 'Databricks', 'Airflow', 'SQL', 'Git', 'Kubernetes', 'Docker', 'Snowflake', 'Terraform']"
Research leader Environmental Health and Chemical Risk Assessment Data,VITO,Anywhere,Non spécifié,['R']
Freelance Data Governance Architect Collibra - Brussel,Dark Light - data & BI consultancy,"Brussels, Belgium",Non spécifié,['R']
Data & AI engineer,Thales,"Herstal, Belgium",Non spécifié,"['Python', 'R', 'SQL', 'Excel', 'Spark', 'Hadoop', 'SQL', 'Git', 'keras', 'scikit-learn', 'scipy']"
Provider Data Analyst,Highmark Inc.,Belgium,Non spécifié,"['R', 'AWS']"
Data Quality Engineer (H/F),Engibex,Belgium,Non spécifié,"['R', 'Scala']"
Data collection and data management Engineer,Zensor,"Brussels, Belgium",Non spécifié,"['Python', 'R', 'SQL', 'AWS', 'AZURE', 'SQL', 'NoSQL']"
Project Leader Data,Oliver James,"Brussels, Belgium",Non spécifié,"['R', 'SQL', 'Excel', 'SQL', 'SQL Server']"
Financial Data and Budget Specialist,Randstad,"Wavre, Belgium",Non spécifié,"['R', 'Excel', 'Scala']"
Official Data Collector - Belgium,IMG ARENA,Belgium,Non spécifié,['R']
Senior Data Engineer,Soda Data NV,Anywhere,Non spécifié,"['Python', 'R', 'SQL', 'Excel', 'Snowflake', 'GCP', 'AWS', 'AZURE', 'Databricks', 'Spark', 'Scala', 'Airflow', 'Kafka', 'SQL', 'Kubernetes', 'Snowflake', 'Terraform', 'Java']"
System Engineer Data Core,VIB,"Ghent, Belgium",Non spécifié,"['Python', 'R']"
Engineering Internship - Automation/Mechanical/Mechatronic/Data...,PGBPGNGLOBAL,"Brussels, Belgium",Non spécifié,['R']
Data Analyst MES,Pauwels Consulting,"Leuven, Belgium",Non spécifié,['R']
Data Engineer (Remote),Stefanini EMEA,Anywhere,Non spécifié,"['Python', 'R', 'SQL', 'Databricks', 'Spark', 'Hadoop', 'SQL', 'NoSQL', 'Git', 'pySpark', 'Pyspark', 'PySpark']"
Resident Engineer,Cohesity,"Brussels, Belgium",Non spécifié,"['Python', 'R', 'SQL', 'Excel', 'GCP', 'AWS', 'AZURE', 'Scala', 'S3', 'SQL', 'NoSQL', 'Oracle', 'SAS']"
West Data Protection Officer (DPO),Bridgestone Europe NV/SA,"Zaventem, Belgium",Non spécifié,"['R', 'AWS']"
Microbiology Data Management Intern,The Coca-Cola Company,Anywhere,Non spécifié,"['R', 'PowerBI', 'Spark']"
Data Platform Administrator - Data Solutions,Cegeka,Belgium,Non spécifié,['R']
Data Modeller / Analyst (SAP/Supply Chain),Juvo,Belgium,Non spécifié,['R']
Data Process Automation Lead,Partenamut,"Brussels, Belgium",Non spécifié,['R']
⛅️ Experienced Cloud (& Data) Engineer,dataroots,"Leuven, Belgium",Non spécifié,"['Python', 'R', 'Excel', 'GCP', 'AWS', 'AZURE', 'Scala', 'Kubernetes', 'Terraform', 'Java']"
Data Management Officer,Oliver James,"Brussels, Belgium",Non spécifié,"['R', 'SQL', 'Excel', 'SQL', 'SQL Server', 'Oracle']"
Data Center Expert Brussels,Citymesh NV,"Brussels, Belgium",Non spécifié,"['R', 'Excel', 'Scala', 'SAS']"
Azure Data Engineer,Devoteam,"Machelen, Belgium",Non spécifié,"['Python', 'R', 'SQL', 'Excel', 'Tableau', 'AWS', 'AZURE', 'Databricks', 'Spark', 'SQL', 'Git', 'SQL Server', 'pySpark', 'Pyspark', 'PySpark', 'SAS']"
Supply Officer (Material Master Data SME),UCB,"Braine-l'Alleud, Belgium",Non spécifié,['R']
Data Officer,DEME,Anywhere,Non spécifié,"['R', 'Excel', 'Git']"
Internship - Corporate Governance Data Procurement,Institutional Shareholder Services Europe SA,Anywhere,Non spécifié,['R']
Azure Data Architect,In4Matic,"Brussels, Belgium",Non spécifié,"['R', 'Excel', 'AZURE', 'Databricks', 'Spark', 'pySpark', 'Pyspark', 'PySpark']"
Senior Data Engineer - Europe Remote,Cimpress,Anywhere,Non spécifié,"['Python', 'R', 'Snowflake', 'AWS', 'Databricks', 'Spark', 'Scala', 'Airflow', 'Git', 'Snowflake']"
Data Engineer,JUVO,"Antwerp, Belgium",Non spécifié,"['Python', 'R', 'SQL', 'Excel', 'Tableau', 'Spark', 'Kafka', 'Hadoop', 'SQL']"
Remote Data Entry Operator,HR Admin,Anywhere,Non spécifié,"['R', 'Excel', 'Git']"
Data Engineer,Tobania,"Brussels, Belgium",Non spécifié,"['Python', 'R', 'SQL', 'GCP', 'AWS', 'AZURE', 'Spark', 'Scala', 'Airflow', 'Hadoop', 'SQL', 'Git', 'Java']"
"Manager, Workday Data Conversion Lead",KPMG Deutschland,"Antwerp, Belgium   (+34 others)",Non spécifié,"['R', 'AWS']"
Data & AI Engagement / Program Manager,Capgemini,"Brussels, Belgium",Non spécifié,"['R', 'Excel']"
Work From Home - Data Entry Operator,HR Admin,Anywhere,Non spécifié,"['R', 'Excel']"
Marketing Data Analyst Lead,Mews,Anywhere,Non spécifié,"['Python', 'R', 'SQL', 'Excel', 'PowerBI', 'AZURE', 'Databricks', 'Scala', 'SQL']"
IT Graduates,AXA Group,Belgium,Non spécifié,"['R', 'Git']"
Product Owner IT&DATA Analytics,Danone Belgium,"Brussels, Belgium",Non spécifié,"['R', 'Excel', 'Snowflake', 'AWS', 'AZURE', 'Databricks', 'Snowflake']"
Data Analyst - BI,Working In,"Brussels, Belgium",Non spécifié,"['Python', 'R', 'SQL', 'Tableau', 'SQL']"
Data Entry Specialist (Freshers Welcome!),HR Admin,Anywhere,Non spécifié,"['R', 'Excel', 'Git']"
Digital Marketing Lead,Data Minded,Anywhere,Non spécifié,"['R', 'Git']"
Data Engineer ( Azure / Databricks / Snowflake / GCP),Capgemini,"Brussels, Belgium",Non spécifié,"['R', 'SQL', 'Snowflake', 'AZURE', 'Databricks', 'Scala', 'SQL', 'Git', 'Snowflake']"
Data Scientist (NDL/ENG),KBC Bank & Verzekering,Belgium,Non spécifié,"['Python', 'R', 'AWS', 'AZURE', 'Spark', 'Hadoop', 'Git', 'Kubernetes', 'keras', 'Tensorflow', 'Pytorch', 'scikit-learn']"
Data Engineer,Tata Consultancy Services,Belgium,Non spécifié,"['Python', 'R', 'SQL', 'Tableau', 'AWS', 'Databricks', 'Spark', 'Airflow', 'S3', 'SQL', 'NoSQL', 'SQL Server', 'pySpark', 'Pyspark', 'PySpark', 'SAS']"
Banking - Data governance SME and PM(O) Consultant,Capgemini,"Brussels, Belgium",Non spécifié,"['R', 'Git']"
Global Data Privacy Legal Counsel,PingCAP,Anywhere,Non spécifié,"['R', 'SQL', 'AWS', 'SQL', 'Git']"
FREELANCE Enterprise Data Warehouse Engineer - Data Modeler,Dark Light - data & BI consultancy,"Brussels, Belgium",Non spécifié,"['R', 'SQL', 'SQL']"
Data Quality Engineer,ENGIBEX,"Brussels, Belgium",Non spécifié,"['R', 'Scala']"
Data Analytics,ZOE,Anywhere,Non spécifié,"['Python', 'R', 'SQL', 'Excel', 'SQL']"
Data & Analytics Platform Architect,BICS,"Brussels, Belgium",Non spécifié,"['R', 'Excel', 'GCP', 'AWS', 'AZURE', 'Spark', 'Kafka', 'Hadoop']"
Senior Azure Data Engineer,Greenomy,Anywhere,Non spécifié,"['Python', 'R', 'SQL', 'PowerBI', 'AZURE', 'Databricks', 'SQL', 'MongoDB', 'Oracle', 'Terraform']"
Data engineer / Data Scientist Junior and/or Internship,VALKUREN,"Brussels, Belgium",Non spécifié,"['Python', 'R', 'AWS', 'AZURE', 'Spark', 'Git', 'pySpark', 'Pyspark', 'PySpark']"
"Grid Model Data Operator,",Elia Group,"Antwerp, Belgium",Non spécifié,"['Python', 'R', 'SQL', 'Excel', 'PowerBI', 'SQL']"
Knowledge and Data Intern,Impact Europe,"Brussels, Belgium",Non spécifié,"['R', 'Excel']"
Data Protection Officer,Luminus,"Brussels, Belgium",Non spécifié,"['R', 'Excel', 'AWS', 'Git']"
Global Data Science Lead,Top of Minds,"Waregem, Belgium",Non spécifié,"['Python', 'R', 'SQL', 'Excel', 'SQL', 'Git', 'SAS']"
Data Document Protection,Brayton Global,"Brussels, Belgium",Non spécifié,"['R', 'SQL', 'S3', 'SQL', 'Git', 'Kubernetes', 'Docker', 'Jira', 'Jenkins']"
Azure Data Architect,Avanade,"Ghent, Belgium",Non spécifié,"['R', 'AZURE', 'Databricks', 'Git', 'generative AI']"
Data Architect,Meta4ce,"Kontich, Belgium",Non spécifié,"['R', 'SQL', 'Excel', 'AZURE', 'SQL', 'SAS']"
Senior Data Engineering Consultant,::projective,Belgium,Non spécifié,"['Python', 'R', 'SQL', 'Snowflake', 'AZURE', 'Databricks', 'Scala', 'SQL', 'Git', 'Kubernetes', 'Docker', 'Snowflake']"
Data Analyst,OneSource Consulting,"Brussels, Belgium",Non spécifié,"['R', 'SQL', 'Excel', 'Snowflake', 'Databricks', 'SQL', 'Snowflake']"
Data Consultant,HeadMind Partners,Belgium,Non spécifié,"['R', 'Git']"
Data Scientist,Celfocus,"Flemalle, Belgium",Non spécifié,"['Python', 'R', 'SQL', 'AWS', 'AZURE', 'Spark', 'Scala', 'SQL', 'Git', 'scikit-learn', 'scipy', 'Java']"
Portfolio data and reporting Analyst,Kartesia,"Brussels, Belgium",Non spécifié,"['R', 'Excel']"
Databricks Engineer,Aivix,"Boortmeerbeek, Belgium",Non spécifié,"['Python', 'R', 'SQL', 'Excel', 'AWS', 'Databricks', 'Spark', 'Scala', 'SQL', 'Git', 'pySpark', 'Pyspark', 'PySpark']"
Data Scientist,RED Global,"Brussels, Belgium",Non spécifié,"['R', 'Excel', 'Dataiku', 'AWS', 'AZURE', 'Databricks', 'Dataiku', 'Git', 'Tensorflow', 'Terraform', 'Pytorch', 'scikit-learn']"
Senior Azure Data Engineer,Vivid Resourcing,"Antwerp, Belgium",Non spécifié,"['Python', 'R', 'AZURE', 'Spark']"
Data Analyst Semiconductor,Scalian,"Leuven, Belgium",Non spécifié,"['Python', 'R', 'SQL', 'Excel', 'AZURE', 'SQL', 'Git', 'SAS']"
Freelance Data/Business Analyst West-Flanders,Dark Light - data & BI consultancy,"Kortrijk, Belgium",Non spécifié,"['Python', 'R', 'SQL', 'Excel', 'Tableau', 'SQL']"
Junior Data & IT Consultant (September 2024),delaware BeLux,"Kortrijk, Belgium",Non spécifié,"['Python', 'R', 'SQL', 'AZURE', 'Databricks', 'SQL', 'SQL Server']"
Data & Automation Specialist,Ogilvy Social.Lab Belgium,"Brussels, Belgium",Non spécifié,"['Python', 'R', 'Excel', 'Spark', 'Git', 'Java']"
Data Analytics Engineer (Part-time),Hays,"Aartselaar, Belgium",Non spécifié,"['R', 'SQL', 'Tableau', 'SQL']"
WordPress Developer (Dynamic Content Specialist),Smart Apartment Data,Anywhere,Non spécifié,"['R', 'Java']"
Fraud Data Analyst (Payments),EBA CLEARING,Belgium,Non spécifié,"['Python', 'R', 'Excel']"
"Director, PSTS Portfolio Insights and Data Integration",Johnson & Johnson,"Beerse, Belgium",Non spécifié,"['R', 'Excel']"
Data Collector,IMG ARENA,"Deinze, Belgium",Non spécifié,['R']
D365 Business Central Consultant,Select Tech - ERP. Cloud. Data,"Brussels, Belgium",Non spécifié,['R']
"Data Science Manager (Bangkok based, relocation provided)",Agoda,"Brussels, Belgium",Non spécifié,"['Python', 'R', 'SQL', 'Tableau', 'Hadoop', 'SQL']"
Data Architect (Cloud),Excelerate,Anywhere,Non spécifié,"['R', 'Excel', 'AZURE', 'Git']"
Data Strategy Consultant,Telenet,"Mechelen, Belgium",Non spécifié,"['R', 'Excel']"
Data Engineer (Jnr/Mid/Snr),Excelerate,Anywhere,Non spécifié,"['Python', 'R', 'SQL', 'Excel', 'AZURE', 'Databricks', 'SQL', 'Git', 'Terraform']"
Data Collector,IMG ARENA,"Lommel, Belgium",Non spécifié,['R']
Backend C# Developer,Smart Apartment Data,Anywhere,Non spécifié,"['R', 'AWS']"
WordPress Developer (Dynamic Content Specialist),Smart Apartment Data,Anywhere,Non spécifié,"['R', 'Java']"
"Dutch Inhouse Rater, HYBRID - Tampere, Finland",TELUS International AI Data Solutions,Anywhere,Non spécifié,"['R', 'Excel', 'AWS']"
Project Manager (Data Driven),Ordina,"Mechelen, Belgium",Non spécifié,['R']
Data Collector,IMG ARENA,"Charleroi, Belgium",Non spécifié,['R']
D365 BC Consultant,Select Tech - ERP. Cloud. Data,Belgium,Non spécifié,['R']
D365 Business Central Consultant,Select Tech - ERP. Cloud. Data,"Brussels, Belgium",Non spécifié,['R']
Data Solution Architect,Ordina,"Mechelen, Belgium",Non spécifié,"['R', 'SQL', 'AZURE', 'SQL', 'NoSQL', 'Git']"
Data Collector,IMG ARENA,"Eupen, Belgium",Non spécifié,['R']
