,Unnamed: 0,title,company_name,location,experience,technical_skills,rank,score,country,Company,Glassdoor_rating
32,30,Senior Data Engineer - IBM Client Innovation Center Belgium,IBM,Anywhere,Non spécifié,"['Elasticsearch', 'Scala', 'Azure', 'Excel', 'Sql', 'Aws', 'Hadoop', 'R', 'Spark', 'Java', 'Python']",52.0,72.9,Anywhere,,
33,31,Data manager/Bioinformatics Scientist,Charles River,Belgium,Non spécifié,"['Python', 'R', 'Excel']",,,Belgium,,
34,32,Data Solution Architect,Advisory - Technology,"Zaventem, Belgium",Non spécifié,"['R', 'Git']",,,Belgium,,
35,33,Project manager Data Analysis,VIB,"Ghent, Belgium",Non spécifié,"['Excel', 'R']",,,Belgium,,
36,34,"Senior Software Engineer, Data Sync",HubSpot,Belgium,Non spécifié,"['R', 'Java']",,,Belgium,,
37,35,Data Engineer,imec.istart,"Ghent, Belgium",Non spécifié,"['R', 'Scala']",,,Belgium,,
38,36,Data Analyst,Luxoft,Belgium,Non spécifié,['R'],,,Belgium,,
39,37,Senior Data Analyst,Oliver James,"Brussels, Belgium",Non spécifié,"['Sql', 'R']",,,Belgium,,
40,38,Data Engineer,Deliverect,"Ghent, Belgium",Non spécifié,"['Scala', 'Kafka', 'Mongodb', 'Excel', 'Sql', 'Nosql', 'Spark', 'R', 'Java', 'Python']",,,Belgium,,
41,39,Machine Learning Engineer,AXA Group,"Brussels, Belgium",Non spécifié,"['Python', 'R', 'Aws', 'Excel']",,,Belgium,,
42,40,Senior Cost Manager / QS - Data Center Project,Soben,Belgium,Non spécifié,"['Excel', 'R']",,,Belgium,,
43,41,Senior Data Engineering Consultant,Projective,"Machelen, Belgium",Non spécifié,"['Snowflake', 'Scala', 'Azure', 'Sql', 'Docker', 'Databricks', 'R', 'Git', 'Python', 'Kubernetes']",,,Belgium,,
44,42,Data Center Technician II,Google Belgium,Belgium  (+1 other),Non spécifié,"['R', 'Scala']",31.0,74.1,Belgium,,
45,43,Master Data Administrator,STOW Group,"Spiere-Helkijn, Belgium",Non spécifié,['R'],,,Belgium,,
46,44,Data Assistant - Lab,"Medpace, Inc.","Leuven, Belgium",Non spécifié,['R'],,,Belgium,,
47,45,Lease Data & Warranty Engineer,TUI Group,"Zaventem, Belgium",Non spécifié,"['Excel', 'R']",,,Belgium,,
48,46,Freelance Medior Project Manager Data - Brussels - 12+ months,Dark Light,"Brussels, Belgium",Non spécifié,['R'],,,Belgium,,
49,47,BE Data Engineer,Biztory,"Kontich, Belgium",Non spécifié,"['Tableau', 'Snowflake', 'Azure', 'Sql', 'Aws', 'R', 'Gcp', 'Python']",,,Belgium,,
50,48,Data Scientist - Chatbot Project,Huxley,Anywhere,Non spécifié,"['Python', 'R']",,,Anywhere,,
51,49,Study Coordinator Data Management,Personal Genome Diagnostics,Belgium   (+16 others),Non spécifié,['R'],,,Belgium,,
52,50,Post-doctoral Technology and Data Manager,VIB,Belgium,Non spécifié,['R'],,,Belgium,,
53,51,Data & Analytics Manager - Financial Services,EY,"Machelen, Belgium",Non spécifié,"['Tableau', 'Excel', 'Powerbi', 'Talend', 'R', 'Git']",,,Belgium,,
54,52,Senior Data Engineer,BNP Paribas Fortis,"Brussels, Belgium",Non spécifié,"['Excel', 'R']",,,Belgium,,
55,53,Power BI/ data anlayst - Brussels- freelance/permanent,Computer Futures,Anywhere,Non spécifié,"['Sql', 'R', 'Excel']",,,Anywhere,,
56,54,Data Analyst – Data Management & Analytics,Capco,"Brussels, Belgium",Non spécifié,"['Tableau', 'Excel', 'Powerbi', 'Sql', 'R', 'Python']",,,Belgium,,
57,55,Big Data/Cloud Intern - INTERNSHIP/STAGE,IBM,Belgium,Non spécifié,"['Mongodb', 'Azure', 'Aws', 'R', 'Git']",52.0,72.9,Belgium,,
58,56,Manufacturing & Supply Chain Data Scientist,Accenture,"Brussels, Belgium",Non spécifié,"['Excel', 'R']",,72.2,Belgium,,
59,57,Power Platform Consultant,Squadron,"Waregem, Belgium",Non spécifié,"['Git', 'R', 'Azure']",,,Belgium,,
60,58,Medior Data Engineer (Power BI),Oliver James,"Brussels, Belgium",Non spécifié,"['Scala', 'Sas', 'Excel', 'Sql', 'R']",,,Belgium,,
61,59,Project Engineer - Automation/Mechatronic/Data Science,PGBPGNGLOBAL,"Brussels, Belgium",Non spécifié,"['R', 'Git']",,,Belgium,,
62,60,Senior Data Engineer,ATCON,Belgium,Non spécifié,"['Scala', 'Kafka', 'Sql', 'Nosql', 'R', 'Spark', 'Python']",,,Belgium,,
63,61,Data Ops Engineer,Orange Business,"Evere, Belgium",Non spécifié,"['Snowflake', 'Airflow', 'Sql', 'Docker', 'R', 'Terraform', 'Git', 'Databricks', 'Kubernetes']",,,Belgium,,
64,62,Data Science Manager - Supply Chain (2 years),1849 GlaxoSmithKline Biologicals S.A.,Anywhere,Non spécifié,"['Generative ai', 'R', 'Git']",,,Anywhere,,
65,63,Azure Data Engineer - SAS,Next Ventures,Belgium,Non spécifié,"['Sas', 'R', 'Azure']",,,Belgium,,
66,64,🤝  Data Governance Expert,dataroots,"Flemish Brabant, Belgium",Non spécifié,"['Excel', 'R']",,,Belgium,,
67,65,Data Manager - Core Laboratory,"Medpace, Inc.","Leuven, Belgium",Non spécifié,['R'],,,Belgium,,
68,66,Study Coordinator Data Management,Labcorp,"Mechelen, Belgium   (+3 others)",Non spécifié,['R'],,,Belgium,,
69,67,BI Data Modeller,Risk Systems Consulting,"Brussels, Belgium",Non spécifié,"['Sas', 'Sql server', 'Powerbi', 'Sql', 'R']",,,Belgium,,
70,68,Data Ops Engineer,Orange SA,Anywhere,Non spécifié,"['Snowflake', 'Airflow', 'Sql', 'Docker', 'R', 'Terraform', 'Git', 'Databricks', 'Kubernetes']",,,Anywhere,,
71,69,Research leader Environmental Health and Chemical Risk Assessment Data,VITO,Anywhere,Non spécifié,['R'],,,Anywhere,,
72,70,Freelance Data Governance Architect Collibra - Brussel,Dark Light - data & BI consultancy,"Brussels, Belgium",Non spécifié,['R'],,,Belgium,,
73,71,Data & AI engineer,Thales,"Herstal, Belgium",Non spécifié,"['Excel', 'Sql', 'Hadoop', 'Keras', 'Scipy', 'Spark', 'R', 'Git', 'Python', 'Scikit-learn']",,84.9,Belgium,,
74,72,Provider Data Analyst,Highmark Inc.,Belgium,Non spécifié,"['R', 'Aws']",,,Belgium,,
75,73,Data Quality Engineer (H/F),Engibex,Belgium,Non spécifié,"['R', 'Scala']",,,Belgium,,
76,74,Data collection and data management Engineer,Zensor,"Brussels, Belgium",Non spécifié,"['Azure', 'Sql', 'Aws', 'Nosql', 'R', 'Python']",,,Belgium,,
77,75,Project Leader Data,Oliver James,"Brussels, Belgium",Non spécifié,"['Sql', 'Sql server', 'R', 'Excel']",,,Belgium,,
78,76,Financial Data and Budget Specialist,Randstad,"Wavre, Belgium",Non spécifié,"['Excel', 'R', 'Scala']",,,Belgium,,
79,77,Official Data Collector - Belgium,IMG ARENA,Belgium,Non spécifié,['R'],,,Belgium,,
80,78,Senior Data Engineer,Soda Data NV,Anywhere,Non spécifié,"['Snowflake', 'Scala', 'Kafka', 'Azure', 'Airflow', 'Excel', 'Sql', 'Aws', 'Databricks', 'R', 'Spark', 'Terraform', 'Kubernetes', 'Gcp', 'Python', 'Java']",,,Anywhere,,
81,79,System Engineer Data Core,VIB,"Ghent, Belgium",Non spécifié,"['Python', 'R']",,,Belgium,,
82,80,Engineering Internship - Automation/Mechanical/Mechatronic/Data...,PGBPGNGLOBAL,"Brussels, Belgium",Non spécifié,['R'],,,Belgium,,
83,81,Data Analyst MES,Pauwels Consulting,"Leuven, Belgium",Non spécifié,['R'],,,Belgium,,
84,82,Data Engineer (Remote),Stefanini EMEA,Anywhere,Non spécifié,"['Sql', 'Hadoop', 'Nosql', 'Databricks', 'R', 'Spark', 'Git', 'Python', 'Pyspark']",,,Anywhere,,
85,83,Resident Engineer,Cohesity,"Brussels, Belgium",Non spécifié,"['Scala', 'Azure', 'Sas', 'Excel', 'Sql', 'Aws', 'Nosql', 'Oracle', 'R', 'Gcp', 'Python', 'S3']",,,Belgium,,
86,84,West Data Protection Officer (DPO),Bridgestone Europe NV/SA,"Zaventem, Belgium",Non spécifié,"['R', 'Aws']",28.0,74.4,Belgium,,
87,85,Microbiology Data Management Intern,The Coca-Cola Company,Anywhere,Non spécifié,"['Powerbi', 'R', 'Spark']",,,Anywhere,,
88,86,Data Platform Administrator - Data Solutions,Cegeka,Belgium,Non spécifié,['R'],,,Belgium,,
89,87,Data Modeller / Analyst (SAP/Supply Chain),Juvo,Belgium,Non spécifié,['R'],,,Belgium,,
90,88,Data Process Automation Lead,Partenamut,"Brussels, Belgium",Non spécifié,['R'],,,Belgium,,
91,89,⛅️ Experienced Cloud (& Data) Engineer,dataroots,"Leuven, Belgium",Non spécifié,"['Scala', 'Azure', 'Excel', 'Aws', 'R', 'Java', 'Terraform', 'Kubernetes', 'Gcp', 'Python']",,,Belgium,,
92,90,Data Management Officer,Oliver James,"Brussels, Belgium",Non spécifié,"['Sql server', 'Excel', 'Oracle', 'Sql', 'R']",,,Belgium,,
93,91,Data Center Expert Brussels,Citymesh NV,"Brussels, Belgium",Non spécifié,"['Excel', 'R', 'Scala', 'Sas']",,,Belgium,,
94,92,Azure Data Engineer,Devoteam,"Machelen, Belgium",Non spécifié,"['Tableau', 'Azure', 'Sql server', 'Excel', 'Sas', 'Sql', 'Aws', 'Databricks', 'R', 'Spark', 'Git', 'Python', 'Pyspark']",,,Belgium,,
95,93,Supply Officer (Material Master Data SME),UCB,"Braine-l'Alleud, Belgium",Non spécifié,['R'],,,Belgium,,
96,94,Data Officer,DEME,Anywhere,Non spécifié,"['Excel', 'R', 'Git']",,,Anywhere,,
97,95,Internship - Corporate Governance Data Procurement,Institutional Shareholder Services Europe SA,Anywhere,Non spécifié,['R'],,,Anywhere,,
98,96,Azure Data Architect,In4Matic,"Brussels, Belgium",Non spécifié,"['Azure', 'Excel', 'R', 'Spark', 'Databricks', 'Pyspark']",,,Belgium,,
99,97,Senior Data Engineer - Europe Remote,Cimpress,Anywhere,Non spécifié,"['Snowflake', 'Scala', 'Airflow', 'Aws', 'Databricks', 'R', 'Spark', 'Git', 'Python']",,,Anywhere,,
100,98,Data Engineer,JUVO,"Antwerp, Belgium",Non spécifié,"['Tableau', 'Kafka', 'Excel', 'Sql', 'Hadoop', 'R', 'Spark', 'Python']",,,Belgium,,
101,99,Remote Data Entry Operator,HR Admin,Anywhere,Non spécifié,"['Excel', 'R', 'Git']",,,Anywhere,,
102,100,Data Engineer,Tobania,"Brussels, Belgium",Non spécifié,"['Scala', 'Azure', 'Airflow', 'Sql', 'Aws', 'Hadoop', 'R', 'Spark', 'Java', 'Git', 'Gcp', 'Python']",,,Belgium,,
103,101,"Manager, Workday Data Conversion Lead",KPMG Deutschland,"Antwerp, Belgium   (+34 others)",Non spécifié,"['R', 'Aws']",,,Belgium,,
104,102,Data & AI Engagement / Program Manager,Capgemini,"Brussels, Belgium",Non spécifié,"['Excel', 'R']",,76.7,Belgium,,
105,103,Work From Home - Data Entry Operator,HR Admin,Anywhere,Non spécifié,"['Excel', 'R']",,,Anywhere,,
106,104,Marketing Data Analyst Lead,Mews,Anywhere,Non spécifié,"['Scala', 'Azure', 'Excel', 'Powerbi', 'Sql', 'Databricks', 'R', 'Python']",,,Anywhere,,
107,105,IT Graduates,AXA Group,Belgium,Non spécifié,"['R', 'Git']",,,Belgium,,
108,106,Product Owner IT&DATA Analytics,Danone Belgium,"Brussels, Belgium",Non spécifié,"['Snowflake', 'Azure', 'Excel', 'Aws', 'R', 'Databricks']",64.0,72.4,Belgium,,
109,107,Data Analyst - BI,Working In,"Brussels, Belgium",Non spécifié,"['Sql', 'Python', 'Tableau', 'R']",,,Belgium,,
110,108,Data Entry Specialist (Freshers Welcome!),HR Admin,Anywhere,Non spécifié,"['Excel', 'R', 'Git']",,,Anywhere,,
111,109,Digital Marketing Lead,Data Minded,Anywhere,Non spécifié,"['R', 'Git']",,,Anywhere,,
112,110,Data Engineer ( Azure / Databricks / Snowflake / GCP),Capgemini,"Brussels, Belgium",Non spécifié,"['Snowflake', 'Scala', 'Azure', 'Sql', 'R', 'Git', 'Databricks']",,76.7,Belgium,,
113,111,Data Scientist (NDL/ENG),KBC Bank & Verzekering,Belgium,Non spécifié,"['Azure', 'Aws', 'Hadoop', 'Keras', 'Pytorch', 'Spark', 'R', 'Tensorflow', 'Git', 'Python', 'Scikit-learn', 'Kubernetes']",,,Belgium,,
114,112,Data Engineer,Tata Consultancy Services,Belgium,Non spécifié,"['Tableau', 'Sql server', 'Airflow', 'Sas', 'Sql', 'Aws', 'Nosql', 'Databricks', 'R', 'Spark', 'Python', 'S3', 'Pyspark']",,,Belgium,,
115,113,Banking - Data governance SME and PM(O) Consultant,Capgemini,"Brussels, Belgium",Non spécifié,"['R', 'Git']",,76.7,Belgium,,
116,114,Global Data Privacy Legal Counsel,PingCAP,Anywhere,Non spécifié,"['Sql', 'R', 'Aws', 'Git']",,,Anywhere,,
117,115,FREELANCE Enterprise Data Warehouse Engineer - Data Modeler,Dark Light - data & BI consultancy,"Brussels, Belgium",Non spécifié,"['Sql', 'R']",,,Belgium,,
118,116,Data Quality Engineer,ENGIBEX,"Brussels, Belgium",Non spécifié,"['R', 'Scala']",,,Belgium,,
119,117,Data Analytics,ZOE,Anywhere,Non spécifié,"['Sql', 'Python', 'R', 'Excel']",,,Anywhere,,
120,118,Data & Analytics Platform Architect,BICS,"Brussels, Belgium",Non spécifié,"['Kafka', 'Azure', 'Excel', 'Aws', 'Hadoop', 'R', 'Spark', 'Gcp']",12.0,75.4,Belgium,,
121,119,Senior Azure Data Engineer,Greenomy,Anywhere,Non spécifié,"['Mongodb', 'Azure', 'Powerbi', 'Sql', 'Oracle', 'Databricks', 'R', 'Terraform', 'Python']",,,Anywhere,,
122,120,Data engineer / Data Scientist Junior and/or Internship,VALKUREN,"Brussels, Belgium",Non spécifié,"['Azure', 'Aws', 'Spark', 'R', 'Git', 'Python', 'Pyspark']",,,Belgium,,
123,121,"Grid Model Data Operator,",Elia Group,"Antwerp, Belgium",Non spécifié,"['Excel', 'Powerbi', 'Sql', 'R', 'Python']",,,Belgium,,
124,122,Knowledge and Data Intern,Impact Europe,"Brussels, Belgium",Non spécifié,"['Excel', 'R']",,,Belgium,,
125,123,Data Protection Officer,Luminus,"Brussels, Belgium",Non spécifié,"['Excel', 'R', 'Aws', 'Git']",,,Belgium,,
126,124,Global Data Science Lead,Top of Minds,"Waregem, Belgium",Non spécifié,"['Sas', 'Excel', 'Sql', 'R', 'Git', 'Python']",,,Belgium,,
127,125,Data Document Protection,Brayton Global,"Brussels, Belgium",Non spécifié,"['Git', 'Sql', 'Docker', 'Jira', 'R', 'Jenkins', 'Kubernetes', 'S3']",,,Belgium,,
128,126,Azure Data Architect,Avanade,"Ghent, Belgium",Non spécifié,"['Azure', 'R', 'Generative ai', 'Git', 'Databricks']",,,Belgium,,
129,127,Data Architect,Meta4ce,"Kontich, Belgium",Non spécifié,"['Sas', 'Azure', 'Excel', 'Sql', 'R']",,,Belgium,,
130,128,Senior Data Engineering Consultant,::projective,Belgium,Non spécifié,"['Snowflake', 'Scala', 'Azure', 'Sql', 'Docker', 'Databricks', 'R', 'Git', 'Python', 'Kubernetes']",,,Belgium,,
131,129,Data Analyst,OneSource Consulting,"Brussels, Belgium",Non spécifié,"['Snowflake', 'Excel', 'Sql', 'R', 'Databricks']",,,Belgium,,
132,130,Data Consultant,HeadMind Partners,Belgium,Non spécifié,"['R', 'Git']",,,Belgium,,
133,131,Data Scientist,Celfocus,"Flemalle, Belgium",Non spécifié,"['Scala', 'Azure', 'Sql', 'Aws', 'Scipy', 'R', 'Spark', 'Java', 'Git', 'Python', 'Scikit-learn']",,,Belgium,,
134,132,Portfolio data and reporting Analyst,Kartesia,"Brussels, Belgium",Non spécifié,"['Excel', 'R']",,,Belgium,,
135,133,Databricks Engineer,Aivix,"Boortmeerbeek, Belgium",Non spécifié,"['Scala', 'Excel', 'Sql', 'Aws', 'Databricks', 'R', 'Spark', 'Git', 'Python', 'Pyspark']",,,Belgium,,
136,134,Data Scientist,RED Global,"Brussels, Belgium",Non spécifié,"['Dataiku', 'Azure', 'Excel', 'Aws', 'Pytorch', 'R', 'Tensorflow', 'Terraform', 'Git', 'Databricks', 'Scikit-learn']",,,Belgium,,
137,135,Senior Azure Data Engineer,Vivid Resourcing,"Antwerp, Belgium",Non spécifié,"['Python', 'Spark', 'R', 'Azure']",,,Belgium,,
138,136,Data Analyst Semiconductor,Scalian,"Leuven, Belgium",Non spécifié,"['Azure', 'Sas', 'Excel', 'Sql', 'R', 'Git', 'Python']",,,Belgium,,
139,137,Freelance Data/Business Analyst West-Flanders,Dark Light - data & BI consultancy,"Kortrijk, Belgium",Non spécifié,"['Tableau', 'Excel', 'Sql', 'R', 'Python']",,,Belgium,,
140,138,Junior Data & IT Consultant (September 2024),delaware BeLux,"Kortrijk, Belgium",Non spécifié,"['Azure', 'Sql server', 'Sql', 'Databricks', 'R', 'Python']",,,Belgium,,
141,139,Data & Automation Specialist,Ogilvy Social.Lab Belgium,"Brussels, Belgium",Non spécifié,"['Excel', 'Spark', 'R', 'Java', 'Git', 'Python']",,,Belgium,,
142,140,Data Analytics Engineer (Part-time),Hays,"Aartselaar, Belgium",Non spécifié,"['Sql', 'Tableau', 'R']",,,Belgium,,
143,141,WordPress Developer (Dynamic Content Specialist),Smart Apartment Data,Anywhere,Non spécifié,"['R', 'Java']",,,Anywhere,,
144,142,Fraud Data Analyst (Payments),EBA CLEARING,Belgium,Non spécifié,"['Python', 'R', 'Excel']",,,Belgium,,
145,143,"Director, PSTS Portfolio Insights and Data Integration",Johnson & Johnson,"Beerse, Belgium",Non spécifié,"['Excel', 'R']",,,Belgium,Johnson & Johnson,"4,2"
146,144,Data Collector,IMG ARENA,"Deinze, Belgium",Non spécifié,['R'],,,Belgium,,
147,145,D365 Business Central Consultant,Select Tech - ERP. Cloud. Data,"Brussels, Belgium",Non spécifié,['R'],,,Belgium,,
148,146,"Data Science Manager (Bangkok based, relocation provided)",Agoda,"Brussels, Belgium",Non spécifié,"['Tableau', 'Sql', 'Hadoop', 'R', 'Python']",,,Belgium,,
149,147,Data Architect (Cloud),Excelerate,Anywhere,Non spécifié,"['Git', 'Excel', 'R', 'Azure']",,,Anywhere,,
150,148,Data Strategy Consultant,Telenet,"Mechelen, Belgium",Non spécifié,"['Excel', 'R']",,,Belgium,,
151,149,Data Engineer (Jnr/Mid/Snr),Excelerate,Anywhere,Non spécifié,"['Azure', 'Excel', 'Sql', 'Databricks', 'R', 'Terraform', 'Git', 'Python']",,,Anywhere,,
152,150,Data Collector,IMG ARENA,"Lommel, Belgium",Non spécifié,['R'],,,Belgium,,
153,151,Backend C# Developer,Smart Apartment Data,Anywhere,Non spécifié,"['R', 'Aws']",,,Anywhere,,
154,152,WordPress Developer (Dynamic Content Specialist),Smart Apartment Data,Anywhere,Non spécifié,"['R', 'Java']",,,Anywhere,,
155,153,"Dutch Inhouse Rater, HYBRID - Tampere, Finland",TELUS International AI Data Solutions,Anywhere,Non spécifié,"['Excel', 'R', 'Aws']",,,Anywhere,,
156,154,Project Manager (Data Driven),Ordina,"Mechelen, Belgium",Non spécifié,['R'],,,Belgium,,
157,155,Data Collector,IMG ARENA,"Charleroi, Belgium",Non spécifié,['R'],,,Belgium,,
158,156,D365 BC Consultant,Select Tech - ERP. Cloud. Data,Belgium,Non spécifié,['R'],,,Belgium,,
159,157,D365 Business Central Consultant,Select Tech - ERP. Cloud. Data,"Brussels, Belgium",Non spécifié,['R'],,,Belgium,,
160,158,Data Solution Architect,Ordina,"Mechelen, Belgium",Non spécifié,"['Azure', 'Sql', 'Nosql', 'R', 'Git']",,,Belgium,,
161,159,Data Collector,IMG ARENA,"Eupen, Belgium",Non spécifié,['R'],,,Belgium,,
162,160,Data Engineer Intern,Boeing,"Richmond, BC, Canada",Non spécifié,"['Excel', 'R']",,,Canada,,
163,161,2024 Summer Student - Data/ML Engineering Intern (12 months),Royal Bank of Canada,"Toronto, ON, Canada",Non spécifié,"['Scala', 'Azure', 'Sql server', 'Excel', 'Microservices', 'Sql', 'Aws', 'Nosql', 'R', 'Spark', 'Java', 'Gcp', 'Python', 'Mysql']",,,Canada,,
164,162,Data Software Engineer,EPAM Systems,"Toronto, ON, Canada",Non spécifié,"['Tableau', 'Scala', 'Sql', 'Aws', 'R', 'Spark', 'Git', 'Python', 'S3', 'Pyspark']",,,Canada,,
165,163,"Senior Software Engineer, Data Platform",Thomson Reuters,"Toronto, ON, Canada",Non spécifié,"['Snowflake', 'Scala', 'Sas', 'Excel', 'Powerbi', 'Sql', 'Aws', 'R', 'Git', 'Python', 'S3']",,,Canada,,
166,164,Data Scientist (Mexico),Insight Global,"Burnaby, BC, Canada",Non spécifié,"['Kafka', 'R', 'Git', 'Gcp', 'Python', 'Kubernetes', 'S3']",,,Canada,,
167,165,Data Scientist Intern (May - 16 months),IBM,"Markham, ON, Canada",Non spécifié,"['Scala', 'Llm', 'Excel', 'Sql', 'R', 'Nlp', 'Generative ai', 'Git', 'Python']",52.0,72.9,Canada,,
168,166,Regular Data Analyst,Luxoft,Canada,Non spécifié,"['Sql', 'Python', 'R']",,,Canada,,
169,167,Data Scientist,Circle K,"Toronto, ON, Canada",Non spécifié,"['Azure', 'Sql', 'Aws', 'Jira', 'Keras', 'Pytorch', 'R', 'Spark', 'Tensorflow', 'Git', 'Gcp', 'Python', 'Scikit-learn', 'Pyspark']",,,Canada,,
170,168,Sr Data Engineer,Royal Bank of Canada,"Toronto, ON, Canada",Non spécifié,"['Snowflake', 'Scala', 'Azure', 'Excel', 'Sql', 'Hadoop', 'Nosql', 'R', 'Spark', 'Python', 'Pyspark']",,,Canada,,
171,169,Consultant(e) - Solutions de données personnalisées/ Consultant ...,IQVIA SOLUTIONS CANADA INC (CA03),"Québec City, QC, Canada",Non spécifié,['R'],,,Canada,,
172,170,"Sr. Fullstack Engineer, Data and AI Platform",Rivian,"Vancouver, BC, Canada",Non spécifié,"['Graphql', 'Scala', 'Llm', 'Microservices', 'Aws', 'R', 'Generative ai', 'Java', 'Python']",,,Canada,,
173,171,"Senior Business Data Analyst, Marketing Planning & Analytics - Remote",McAfee,"Waterloo, ON, Canada  (+1 other)",Non spécifié,"['Tableau', 'Scala', 'Azure', 'Sql', 'Aws', 'Dash', 'Databricks', 'R', 'Spark', 'Shiny', 'Python', 'D3.js']",,,Canada,,
174,172,"Data Science Director, Consumer and Discovery",Coursera,"Toronto, ON, Canada",Non spécifié,"['Airflow', 'Excel', 'Sql', 'Dash', 'Databricks', 'R', 'Python']",,,Canada,,
