,title,company_name,location,experience,technical_skills,rank,score,country
44,Data Assistant - Lab,"Medpace, Inc.","Leuven, Belgium",Non spécifié,['r'],,,Belgium
45,Lease Data & Warranty Engineer,TUI Group,"Zaventem, Belgium",Non spécifié,"['r', 'excel']",,,Belgium
46,Freelance Medior Project Manager Data - Brussels - 12+ months,Dark Light,"Brussels, Belgium",Non spécifié,['r'],,,Belgium
47,BE Data Engineer,Biztory,"Kontich, Belgium",Non spécifié,"['azure', 'gcp', 'tableau', 'r', 'snowflake', 'sql', 'aws', 'python']",,,Belgium
48,Data Scientist - Chatbot Project,Huxley,Anywhere,Non spécifié,"['r', 'python']",,,Anywhere
49,Study Coordinator Data Management,Personal Genome Diagnostics,Belgium   (+16 others),Non spécifié,['r'],,,Belgium
50,Post-doctoral Technology and Data Manager,VIB,Belgium,Non spécifié,['r'],,,Belgium
51,Data & Analytics Manager - Financial Services,EY,"Machelen, Belgium",Non spécifié,"['tableau', 'r', 'talend', 'excel', 'powerbi', 'git']",,,Belgium
52,Senior Data Engineer,BNP Paribas Fortis,"Brussels, Belgium",Non spécifié,"['r', 'excel']",,,Belgium
53,Power BI/ data anlayst - Brussels- freelance/permanent,Computer Futures,Anywhere,Non spécifié,"['r', 'excel', 'sql']",,,Anywhere
54,Data Analyst – Data Management & Analytics,Capco,"Brussels, Belgium",Non spécifié,"['tableau', 'r', 'excel', 'sql', 'powerbi', 'python']",,,Belgium
55,Big Data/Cloud Intern - INTERNSHIP/STAGE,IBM,Belgium,Non spécifié,"['azure', 'r', 'mongodb', 'aws', 'git']",52.,72.9,Belgium
56,Manufacturing & Supply Chain Data Scientist,Accenture,"Brussels, Belgium",Non spécifié,"['r', 'excel']",,,Belgium
57,Power Platform Consultant,Squadron,"Waregem, Belgium",Non spécifié,"['r', 'git', 'azure']",,,Belgium
58,Medior Data Engineer (Power BI),Oliver James,"Brussels, Belgium",Non spécifié,"['r', 'excel', 'sql', 'scala', 'sas']",,,Belgium
59,Project Engineer - Automation/Mechatronic/Data Science,PGBPGNGLOBAL,"Brussels, Belgium",Non spécifié,"['r', 'git']",,,Belgium
60,Senior Data Engineer,ATCON,Belgium,Non spécifié,"['spark', 'kafka', 'r', 'nosql', 'sql', 'scala', 'python']",,,Belgium
61,Data Ops Engineer,Orange Business,"Evere, Belgium",Non spécifié,"['terraform', 'r', 'airflow', 'docker', 'databricks', 'snowflake', 'sql', 'git', 'kubernetes']",,,Belgium
62,Data Science Manager - Supply Chain (2 years),1849 GlaxoSmithKline Biologicals S.A.,Anywhere,Non spécifié,"['r', 'generative ai', 'git']",,,Anywhere
63,Azure Data Engineer - SAS,Next Ventures,Belgium,Non spécifié,"['r', 'azure', 'sas']",,,Belgium
64,🤝  Data Governance Expert,dataroots,"Flemish Brabant, Belgium",Non spécifié,"['r', 'excel']",,,Belgium
65,Data Manager - Core Laboratory,"Medpace, Inc.","Leuven, Belgium",Non spécifié,['r'],,,Belgium
66,Study Coordinator Data Management,Labcorp,"Mechelen, Belgium   (+3 others)",Non spécifié,['r'],,,Belgium
67,BI Data Modeller,Risk Systems Consulting,"Brussels, Belgium",Non spécifié,"['r', 'sql server', 'powerbi', 'sql', 'sas']",,,Belgium
68,Data Ops Engineer,Orange SA,Anywhere,Non spécifié,"['terraform', 'r', 'airflow', 'docker', 'databricks', 'snowflake', 'sql', 'git', 'kubernetes']",,,Anywhere
69,Research leader Environmental Health and Chemical Risk Assessment Data,VITO,Anywhere,Non spécifié,['r'],,,Anywhere
70,Freelance Data Governance Architect Collibra - Brussel,Dark Light - data & BI consultancy,"Brussels, Belgium",Non spécifié,['r'],,,Belgium
71,Data & AI engineer,Thales,"Herstal, Belgium",Non spécifié,"['spark', 'r', 'scipy', 'excel', 'sql', 'scikit-learn', 'git', 'hadoop', 'keras', 'python']",,,Belgium
72,Provider Data Analyst,Highmark Inc.,Belgium,Non spécifié,"['r', 'aws']",,,Belgium
73,Data Quality Engineer (H/F),Engibex,Belgium,Non spécifié,"['r', 'scala']",,,Belgium
74,Data collection and data management Engineer,Zensor,"Brussels, Belgium",Non spécifié,"['azure', 'r', 'nosql', 'sql', 'aws', 'python']",,,Belgium
75,Project Leader Data,Oliver James,"Brussels, Belgium",Non spécifié,"['r', 'excel', 'sql server', 'sql']",,,Belgium
76,Financial Data and Budget Specialist,Randstad,"Wavre, Belgium",Non spécifié,"['r', 'excel', 'scala']",,,Belgium
77,Official Data Collector - Belgium,IMG ARENA,Belgium,Non spécifié,['r'],,,Belgium
78,Senior Data Engineer,Soda Data NV,Anywhere,Non spécifié,"['java', 'spark', 'azure', 'gcp', 'kafka', 'terraform', 'r', 'airflow', 'databricks', 'snowflake', 'excel', 'sql', 'aws', 'scala', 'kubernetes', 'python']",,,Anywhere
79,System Engineer Data Core,VIB,"Ghent, Belgium",Non spécifié,"['r', 'python']",,,Belgium
80,Engineering Internship - Automation/Mechanical/Mechatronic/Data...,PGBPGNGLOBAL,"Brussels, Belgium",Non spécifié,['r'],,,Belgium
81,Data Analyst MES,Pauwels Consulting,"Leuven, Belgium",Non spécifié,['r'],,,Belgium
82,Data Engineer (Remote),Stefanini EMEA,Anywhere,Non spécifié,"['spark', 'r', 'databricks', 'nosql', 'pyspark', 'sql', 'git', 'hadoop', 'python']",,,Anywhere
83,Resident Engineer,Cohesity,"Brussels, Belgium",Non spécifié,"['azure', 'gcp', 'r', 'nosql', 'excel', 'oracle', 's3', 'sql', 'aws', 'scala', 'sas', 'python']",,,Belgium
84,West Data Protection Officer (DPO),Bridgestone Europe NV/SA,"Zaventem, Belgium",Non spécifié,"['r', 'aws']",28.,74.4,Belgium
85,Microbiology Data Management Intern,The Coca-Cola Company,Anywhere,Non spécifié,"['r', 'spark', 'powerbi']",,,Anywhere
86,Data Platform Administrator - Data Solutions,Cegeka,Belgium,Non spécifié,['r'],,,Belgium
87,Data Modeller / Analyst (SAP/Supply Chain),Juvo,Belgium,Non spécifié,['r'],,,Belgium
88,Data Process Automation Lead,Partenamut,"Brussels, Belgium",Non spécifié,['r'],,,Belgium
89,⛅️ Experienced Cloud (& Data) Engineer,dataroots,"Leuven, Belgium",Non spécifié,"['java', 'azure', 'gcp', 'terraform', 'r', 'excel', 'aws', 'scala', 'kubernetes', 'python']",,,Belgium
90,Data Management Officer,Oliver James,"Brussels, Belgium",Non spécifié,"['r', 'sql server', 'excel', 'oracle', 'sql']",,,Belgium
91,Data Center Expert Brussels,Citymesh NV,"Brussels, Belgium",Non spécifié,"['r', 'excel', 'sas', 'scala']",,,Belgium
92,Azure Data Engineer,Devoteam,"Machelen, Belgium",Non spécifié,"['spark', 'azure', 'tableau', 'r', 'databricks', 'sql server', 'pyspark', 'excel', 'sql', 'aws', 'git', 'sas', 'python']",,,Belgium
93,Supply Officer (Material Master Data SME),UCB,"Braine-l'Alleud, Belgium",Non spécifié,['r'],,,Belgium
94,Data Officer,DEME,Anywhere,Non spécifié,"['r', 'excel', 'git']",,,Anywhere
95,Internship - Corporate Governance Data Procurement,Institutional Shareholder Services Europe SA,Anywhere,Non spécifié,['r'],,,Anywhere
96,Azure Data Architect,In4Matic,"Brussels, Belgium",Non spécifié,"['spark', 'azure', 'r', 'databricks', 'pyspark', 'excel']",,,Belgium
97,Senior Data Engineer - Europe Remote,Cimpress,Anywhere,Non spécifié,"['spark', 'r', 'airflow', 'databricks', 'snowflake', 'aws', 'scala', 'git', 'python']",,,Anywhere
98,Data Engineer,JUVO,"Antwerp, Belgium",Non spécifié,"['spark', 'kafka', 'tableau', 'r', 'excel', 'sql', 'hadoop', 'python']",,,Belgium
99,Remote Data Entry Operator,HR Admin,Anywhere,Non spécifié,"['r', 'excel', 'git']",,,Anywhere
100,Data Engineer,Tobania,"Brussels, Belgium",Non spécifié,"['spark', 'azure', 'gcp', 'r', 'airflow', 'sql', 'aws', 'scala', 'git', 'hadoop', 'java', 'python']",,,Belgium
101,"Manager, Workday Data Conversion Lead",KPMG Deutschland,"Antwerp, Belgium   (+34 others)",Non spécifié,"['r', 'aws']",,,Belgium
102,Data & AI Engagement / Program Manager,Capgemini,"Brussels, Belgium",Non spécifié,"['r', 'excel']",,,Belgium
103,Work From Home - Data Entry Operator,HR Admin,Anywhere,Non spécifié,"['r', 'excel']",,,Anywhere
104,Marketing Data Analyst Lead,Mews,Anywhere,Non spécifié,"['azure', 'r', 'databricks', 'excel', 'powerbi', 'sql', 'scala', 'python']",,,Anywhere
105,IT Graduates,AXA Group,Belgium,Non spécifié,"['r', 'git']",,,Belgium
106,Product Owner IT&DATA Analytics,Danone Belgium,"Brussels, Belgium",Non spécifié,"['azure', 'r', 'databricks', 'snowflake', 'excel', 'aws']",64.,72.4,Belgium
107,Data Analyst - BI,Working In,"Brussels, Belgium",Non spécifié,"['tableau', 'r', 'sql', 'python']",,,Belgium
108,Data Entry Specialist (Freshers Welcome!),HR Admin,Anywhere,Non spécifié,"['r', 'excel', 'git']",,,Anywhere
109,Digital Marketing Lead,Data Minded,Anywhere,Non spécifié,"['r', 'git']",,,Anywhere
110,Data Engineer ( Azure / Databricks / Snowflake / GCP),Capgemini,"Brussels, Belgium",Non spécifié,"['azure', 'r', 'databricks', 'snowflake', 'sql', 'scala', 'git']",,,Belgium
111,Data Scientist (NDL/ENG),KBC Bank & Verzekering,Belgium,Non spécifié,"['scikit-learn', 'spark', 'tensorflow', 'azure', 'r', 'keras', 'aws', 'pytorch', 'git', 'hadoop', 'kubernetes', 'python']",,,Belgium
112,Data Engineer,Tata Consultancy Services,Belgium,Non spécifié,"['spark', 'tableau', 'r', 'airflow', 'databricks', 'sql server', 'nosql', 'pyspark', 's3', 'sql', 'aws', 'sas', 'python']",,,Belgium
113,Banking - Data governance SME and PM(O) Consultant,Capgemini,"Brussels, Belgium",Non spécifié,"['r', 'git']",,,Belgium
114,Global Data Privacy Legal Counsel,PingCAP,Anywhere,Non spécifié,"['r', 'git', 'sql', 'aws']",,,Anywhere
115,FREELANCE Enterprise Data Warehouse Engineer - Data Modeler,Dark Light - data & BI consultancy,"Brussels, Belgium",Non spécifié,"['r', 'sql']",,,Belgium
116,Data Quality Engineer,ENGIBEX,"Brussels, Belgium",Non spécifié,"['r', 'scala']",,,Belgium
117,Data Analytics,ZOE,Anywhere,Non spécifié,"['r', 'excel', 'sql', 'python']",,,Anywhere
118,Data & Analytics Platform Architect,BICS,"Brussels, Belgium",Non spécifié,"['spark', 'azure', 'gcp', 'kafka', 'r', 'excel', 'aws', 'hadoop']",12.,75.4,Belgium
119,Senior Azure Data Engineer,Greenomy,Anywhere,Non spécifié,"['azure', 'terraform', 'r', 'databricks', 'mongodb', 'oracle', 'powerbi', 'sql', 'python']",,,Anywhere
120,Data engineer / Data Scientist Junior and/or Internship,VALKUREN,"Brussels, Belgium",Non spécifié,"['spark', 'azure', 'r', 'pyspark', 'aws', 'git', 'python']",,,Belgium
121,"Grid Model Data Operator,",Elia Group,"Antwerp, Belgium",Non spécifié,"['r', 'excel', 'powerbi', 'sql', 'python']",,,Belgium
122,Knowledge and Data Intern,Impact Europe,"Brussels, Belgium",Non spécifié,"['r', 'excel']",,,Belgium
123,Data Protection Officer,Luminus,"Brussels, Belgium",Non spécifié,"['r', 'excel', 'git', 'aws']",,,Belgium
124,Global Data Science Lead,Top of Minds,"Waregem, Belgium",Non spécifié,"['r', 'excel', 'sql', 'git', 'sas', 'python']",,,Belgium
125,Data Document Protection,Brayton Global,"Brussels, Belgium",Non spécifié,"['jira', 'r', 'docker', 'jenkins', 's3', 'sql', 'git', 'kubernetes']",,,Belgium
126,Azure Data Architect,Avanade,"Ghent, Belgium",Non spécifié,"['generative ai', 'azure', 'r', 'databricks', 'git']",,,Belgium
127,Data Architect,Meta4ce,"Kontich, Belgium",Non spécifié,"['azure', 'r', 'excel', 'sql', 'sas']",,,Belgium
128,Senior Data Engineering Consultant,::projective,Belgium,Non spécifié,"['azure', 'r', 'docker', 'databricks', 'snowflake', 'sql', 'scala', 'git', 'kubernetes', 'python']",,,Belgium
129,Data Analyst,OneSource Consulting,"Brussels, Belgium",Non spécifié,"['r', 'databricks', 'snowflake', 'excel', 'sql']",,,Belgium
130,Data Consultant,HeadMind Partners,Belgium,Non spécifié,"['r', 'git']",,,Belgium
131,Data Scientist,Celfocus,"Flemalle, Belgium",Non spécifié,"['spark', 'azure', 'r', 'scipy', 'sql', 'aws', 'scikit-learn', 'scala', 'git', 'java', 'python']",,,Belgium
132,Portfolio data and reporting Analyst,Kartesia,"Brussels, Belgium",Non spécifié,"['r', 'excel']",,,Belgium
133,Databricks Engineer,Aivix,"Boortmeerbeek, Belgium",Non spécifié,"['spark', 'r', 'databricks', 'pyspark', 'excel', 'sql', 'aws', 'scala', 'git', 'python']",,,Belgium
134,Data Scientist,RED Global,"Brussels, Belgium",Non spécifié,"['scikit-learn', 'tensorflow', 'azure', 'terraform', 'r', 'databricks', 'excel', 'aws', 'pytorch', 'dataiku', 'git']",,,Belgium
135,Senior Azure Data Engineer,Vivid Resourcing,"Antwerp, Belgium",Non spécifié,"['r', 'azure', 'spark', 'python']",,,Belgium
136,Data Analyst Semiconductor,Scalian,"Leuven, Belgium",Non spécifié,"['azure', 'r', 'excel', 'sql', 'git', 'sas', 'python']",,,Belgium
137,Freelance Data/Business Analyst West-Flanders,Dark Light - data & BI consultancy,"Kortrijk, Belgium",Non spécifié,"['tableau', 'r', 'excel', 'sql', 'python']",,,Belgium
138,Junior Data & IT Consultant (September 2024),delaware BeLux,"Kortrijk, Belgium",Non spécifié,"['azure', 'r', 'databricks', 'sql server', 'sql', 'python']",,,Belgium
139,Data & Automation Specialist,Ogilvy Social.Lab Belgium,"Brussels, Belgium",Non spécifié,"['spark', 'r', 'excel', 'git', 'java', 'python']",,,Belgium
140,Data Analytics Engineer (Part-time),Hays,"Aartselaar, Belgium",Non spécifié,"['tableau', 'r', 'sql']",,,Belgium
141,WordPress Developer (Dynamic Content Specialist),Smart Apartment Data,Anywhere,Non spécifié,"['r', 'java']",,,Anywhere
142,Fraud Data Analyst (Payments),EBA CLEARING,Belgium,Non spécifié,"['r', 'excel', 'python']",,,Belgium
143,"Director, PSTS Portfolio Insights and Data Integration",Johnson & Johnson,"Beerse, Belgium",Non spécifié,"['r', 'excel']",,,Belgium
144,Data Collector,IMG ARENA,"Deinze, Belgium",Non spécifié,['r'],,,Belgium
145,D365 Business Central Consultant,Select Tech - ERP. Cloud. Data,"Brussels, Belgium",Non spécifié,['r'],,,Belgium
146,"Data Science Manager (Bangkok based, relocation provided)",Agoda,"Brussels, Belgium",Non spécifié,"['tableau', 'r', 'sql', 'hadoop', 'python']",,,Belgium
147,Data Architect (Cloud),Excelerate,Anywhere,Non spécifié,"['r', 'excel', 'azure', 'git']",,,Anywhere
148,Data Strategy Consultant,Telenet,"Mechelen, Belgium",Non spécifié,"['r', 'excel']",,,Belgium
149,Data Engineer (Jnr/Mid/Snr),Excelerate,Anywhere,Non spécifié,"['azure', 'terraform', 'r', 'databricks', 'excel', 'sql', 'git', 'python']",,,Anywhere
150,Data Collector,IMG ARENA,"Lommel, Belgium",Non spécifié,['r'],,,Belgium
151,Backend C# Developer,Smart Apartment Data,Anywhere,Non spécifié,"['r', 'aws']",,,Anywhere
152,WordPress Developer (Dynamic Content Specialist),Smart Apartment Data,Anywhere,Non spécifié,"['r', 'java']",,,Anywhere
153,"Dutch Inhouse Rater, HYBRID - Tampere, Finland",TELUS International AI Data Solutions,Anywhere,Non spécifié,"['r', 'excel', 'aws']",,,Anywhere
154,Project Manager (Data Driven),Ordina,"Mechelen, Belgium",Non spécifié,['r'],,,Belgium
155,Data Collector,IMG ARENA,"Charleroi, Belgium",Non spécifié,['r'],,,Belgium
156,D365 BC Consultant,Select Tech - ERP. Cloud. Data,Belgium,Non spécifié,['r'],,,Belgium
157,D365 Business Central Consultant,Select Tech - ERP. Cloud. Data,"Brussels, Belgium",Non spécifié,['r'],,,Belgium
158,Data Solution Architect,Ordina,"Mechelen, Belgium",Non spécifié,"['azure', 'r', 'nosql', 'sql', 'git']",,,Belgium
159,Data Collector,IMG ARENA,"Eupen, Belgium",Non spécifié,['r'],,,Belgium
160,Data Engineer Intern,Boeing,"Richmond, BC, Canada",Non spécifié,"['r', 'excel']",,,Canada
161,2024 Summer Student - Data/ML Engineering Intern (12 months),Royal Bank of Canada,"Toronto, ON, Canada",Non spécifié,"['microservices', 'spark', 'azure', 'gcp', 'r', 'sql server', 'nosql', 'mysql', 'excel', 'sql', 'aws', 'scala', 'java', 'python']",,,Canada
162,Data Software Engineer,EPAM Systems,"Toronto, ON, Canada",Non spécifié,"['spark', 'tableau', 'r', 'pyspark', 's3', 'sql', 'aws', 'scala', 'git', 'python']",,,Canada
163,"Senior Software Engineer, Data Platform",Thomson Reuters,"Toronto, ON, Canada",Non spécifié,"['r', 'aws', 'snowflake', 'excel', 's3', 'powerbi', 'sql', 'scala', 'git', 'sas', 'python']",,,Canada
164,Data Scientist (Mexico),Insight Global,"Burnaby, BC, Canada",Non spécifié,"['gcp', 'kafka', 'r', 's3', 'git', 'kubernetes', 'python']",,,Canada
165,Data Scientist Intern (May - 16 months),IBM,"Markham, ON, Canada",Non spécifié,"['generative ai', 'r', 'nlp', 'llm', 'excel', 'sql', 'scala', 'git', 'python']",52.,72.9,Canada
166,Regular Data Analyst,Luxoft,Canada,Non spécifié,"['r', 'sql', 'python']",,,Canada
167,Data Scientist,Circle K,"Toronto, ON, Canada",Non spécifié,"['scikit-learn', 'spark', 'jira', 'tensorflow', 'azure', 'gcp', 'r', 'pyspark', 'sql', 'aws', 'pytorch', 'git', 'keras', 'python']",,,Canada
168,Sr Data Engineer,Royal Bank of Canada,"Toronto, ON, Canada",Non spécifié,"['spark', 'azure', 'r', 'snowflake', 'nosql', 'pyspark', 'excel', 'sql', 'scala', 'hadoop', 'python']",,,Canada
169,Consultant(e) - Solutions de données personnalisées/ Consultant ...,IQVIA SOLUTIONS CANADA INC (CA03),"Québec City, QC, Canada",Non spécifié,['r'],,,Canada
170,"Sr. Fullstack Engineer, Data and AI Platform",Rivian,"Vancouver, BC, Canada",Non spécifié,"['microservices', 'generative ai', 'r', 'aws', 'graphql', 'llm', 'scala', 'java', 'python']",,,Canada
171,"Senior Business Data Analyst, Marketing Planning & Analytics - Remote",McAfee,"Waterloo, ON, Canada  (+1 other)",Non spécifié,"['spark', 'azure', 'tableau', 'r', 'databricks', 'shiny', 'sql', 'aws', 'd3.js', 'dash', 'scala', 'python']",,,Canada
172,"Data Science Director, Consumer and Discovery",Coursera,"Toronto, ON, Canada",Non spécifié,"['r', 'airflow', 'databricks', 'excel', 'sql', 'dash', 'python']",,,Canada
173,Data Scientist - Pricing Algorithms,Lyft,"Toronto, ON, Canada",Non spécifié,"['r', 'sql', 'python']",,,Canada
174,Data & Analytics Manager,"155 Queens Quay East, Toronto","Toronto, ON, Canada",Non spécifié,"['r', 'git', 'dash']",,,Canada
175,Data Entry Clerk (Part Time) (Remote),Staffing Data Services Agency,Anywhere,Non spécifié,"['r', 'excel']",,,Anywhere
176,eCommerce Data & Insights Manager,Nestle Operational Services Worldwide SA,"Montreal, QC, Canada",Non spécifié,"['tableau', 'r', 'excel', 'powerbi', 'sql', 'dash', 'git']",,,Canada
177,Data Science Associate Intern,Roche,"Mississauga, ON, Canada",Non spécifié,"['r', 'shiny', 'excel', 'aws', 'sas']",70.,72.1,Canada
178,"Data Analyst, Data Analytics",Cardinal Health,"Vaughan, ON, Canada",Non spécifié,"['gcp', 'tableau', 'r', 'aws', 'powerbi', 'sql', 'dash']",,,Canada
179,Senior Data Engineer- Warehousing,Cadence Solutions,"Edmonton, AB, Canada",Non spécifié,"['r', 'snowflake', 'sql', 'aws', 'redshift']",,,Canada
180,Manager - Data Governance - Vancouver,EY,"Vancouver, BC, Canada",Non spécifié,"['r', 'excel']",,,Canada
181,"Senior Director, Data Analytics & Evidence Synthesis",EVERSANA,"Burlington, ON, Canada",Non spécifié,"['r', 'excel', 'vba']",,,Canada
182,"Sr. Fullstack Engineer, Data and AI Platform",Rivian,"Vancouver, BC, Canada",Non spécifié,"['microservices', 'generative ai', 'r', 'aws', 'graphql', 'llm', 'scala', 'java', 'python']",,,Canada
183,Data Analyst,VC3,Anywhere,Non spécifié,"['r', 'dash', 'sql', 'scala']",,,Anywhere
184,Data Engineer- IT,D2L,"Kitchener, ON, Canada",Non spécifié,"['r', 'aws', 'sql', 'scala', 'python']",,,Canada
185,Sr Data Engineer,Bank of Montreal,"Toronto, ON, Canada",Non spécifié,"['azure', 'r', 'aws', 'excel', 'powerbi', 'sql', 'dash', 'sas', 'python']",,,Canada
186,Data and AI Industry Analytics Associate Director - Insurance,Accenture,"Toronto, ON, Canada",Non spécifié,"['r', 'excel', 'spark', 'git']",,,Canada
187,Data Scientist for Product,McAfee,"Waterloo, ON, Canada  (+1 other)",Non spécifié,"['r', 'excel', 'sql', 'aws', 'scala', 'python']",,,Canada
188,Data Scientist,CGI,"Toronto, ON, Canada",Non spécifié,['r'],,,Canada
189,Global Data Lab Data Scientist,Prospect33,"Halifax, NS, Canada",Non spécifié,"['r', 'pandas', 'sql', 'python']",,,Canada
190,Junior Data Scientist,PepsiCo,"Mississauga, ON, Canada",Non spécifié,"['tableau', 'r', 'sql', 'hadoop', 'python']",,,Canada
191,"Sr. Fullstack Engineer, Data and AI Platform",Rivian,"Vancouver, BC, Canada",Non spécifié,"['microservices', 'generative ai', 'r', 'aws', 'graphql', 'llm', 'scala', 'java', 'python']",,,Canada
192,Insights Manager - Data & Analytics,Unilever,"Toronto, ON, Canada",Non spécifié,"['r', 'excel', 'powerbi', 'sql', 'dash', 'git', 'sas']",,,Canada
193,Data Scientist,CGI,"Toronto, ON, Canada",Non spécifié,['r'],,,Canada
